ID,English Word,Tachelhit Expression
2381,fabric,"ibrdi, ibrdan֎֎ taẓeṭṭa, tiẓeṭṭiwin֎֎ tiẓeṭṭi, tiẓeṭṭiwin֎֎ aẓeṭṭa, iẓeṭṭaten/iẓeṭwan֎֎ tiẓawṭt, tiẓawṭin֎֎ acṛwiḍ, icṛwiḍen֎֎ alkak, alkaken֎֎ aýɛuḍ, iýɛaḍ֎֎ adɣar, idɣaren֎֎ aṣeṭṭa, iṣeṭwan֎֎ aṣeṭṭa, iṣeṭewan֎֎"
2382,fabulous,isnufuln
2383,facility,"imiss, imassen (mad. ur dar- sen imassen n yat!)֎֎ asrus, isrusen"
2384,fact,"1.A piece of information that is true or something that has actually happened. Askkir, iskkiren"
2385,faction,"aman, amanen"
2386,factor,"amskar, imskaren"
2387,factory,"anuḍ, inuḍen"
2388,factual,illan
2389,fade,kcef
2390,faggot,"taggʷat, taggʷatin"
2391,fail,"1.If you faill an exam, your marks are too low and you do not pass. Ḍeṛ"
2392,failure,"58 1.Failure is a lack of success in doing something. Taḍuṛi, tiḍuṛiwin"
2393,fair-haired,azzar iwrraɣn
2394,fairly,1.To a quite a large degree. Nit
2395,fairness,"tiødemt, tiødemin"
2396,fairy,"tanirt, tinirin"
2397,fairy tale,umiyyen/umin
2398,faith,1.Fait is a feeling of confidence or trust in something. Taflest
2399,faithful,"1.Loyal to someone or something and continuing to support them. Anflus, inflas"
2400,fake,iṭṭaṣn
2401,falcon,"afalku, ifulka֎֎ amsteɣ, imsteɣen ֎֎ bi-iɣrdayen, id bi- iɣrdayen֎֎ tayninna, tayninnawin֎֎ taεninna, tiεninnawin֎֎ fall:  (v.) 1.If someone or something falls, they move quickly downwards. Ḍeṛ"
2402,fall ill,sker aṭṭan/tamaḍunt/tihreci
2403,fall in,ḍeṛ
2404,fall loose,fsi/bsi
2405,fall down,ḍeṛ
2406,fall out,luḥ
2407,fall over,gnunni
2408,fallow land,"isiki, isakan"
2409,false,1.Not true or not correct. Takerkest
2410,fame,"tabudert, tibudar"
2411,familiar,1.Well-known or easy to recongnize. Ittussann
2412,family,"tawja, tawjiwin"
2413,famine,laẓ
2414,famous,ittubdarn
2415,fang,"afanka, ifankiwen"
2416,fantasia,"amawal, imawalen"
2417,fantasize,wwarg
2418,fantastic,1.Wonderful and very pleasing. Igan luhman
2419,fantasy,"1.Fantassay is an imagined story or situation. Ijijjiw, ijijjiwen"
2420,far-sighted,"1.Unable to see things clearly, especially if they are relatively close to the eyes. Ibukeḍn/iddreøln"
2421,far-sightedness,abukeḍ
2422,farewell,"1.An act of parting or of marking someone's departure. Amsifaḍ, imsifaḍen"
2423,farm,"tibḥirt, tibḥirin"
2424,farmer,"abḥḥar, ibḥḥaren"
2425,farming,"tawwuri, tiwwuriwin n wakal"
2426,farrier,"amzil, imzilen"
2427,fascinate,ssusem
2428,fascinating,ittawin/icttan ixf
2429,fashion,"aḍu, iḍaggʷen"
2430,fashionable,n ɣil-ad
2431,fasten,qqen
2432,fatal,1.A fatal accident or illness causes someone’s death. Ineqqan
2433,fate,1.Fate is a power that some people believe controls everything that happens. Tirra/tirra n Ṛebbi
2434,father,"46 1.Your father is your male parent. Baba, id baba"
2435,father-in-law,"aḍggʷal, iḍggʷalen/iḍulan"
2436,fatigue,"aḥfufu, iḥfufuten"
2437,fatten,ssḍnu
2438,fatty,inddedn (am. fityyi inddedn)֎֎ ilan/igan tadunt
2439,faucet,"abuḍ, ibuḍen"
2440,fearful,ittikṣaḍn
2441,fearless,icqqan
2442,feast,"tiwilt, tiwilin֎֎ tinnubga, tinnubgiwin֎֎ tinubga, tinubgiwin֎֎ tamɣera, timɣeriwin֎֎ adaraw, idarawen֎֎ tanɛaṛift, tinɛaṛifin֎֎ lmɛṛuf, id lmɛṛuf֎֎ zzreda, id zzreda*֎֎"
2443,feather,"ifr, ifrawen֎֎ abejjir, ibejjiren֎֎ abezzir, ibezziren֎֎ ijjij, ijjijen֎֎ ijbir, ijbiren֎֎ taɣmamt, 47 tiɣmamin֎֎ tifrt, tifrawin֎֎ tifrtt, tifrttin֎֎ albzzer, ilbzziren֎֎"
2444,feather-grass,"agumat, igumaten"
2445,February,"fbrayl, id fbrayl"
2446,fed up,ssɣli idammen
2447,federal,afidiral
2448,federalism,"tafidiralit, tifidiraliyin"
2449,federation,"tafidiralit, tifidiralyiin"
2450,fee,"tafrut, tifrutin"
2451,feed,1.If you feed a person or animal you give them food. Fek ad icc
2452,feel around,sdelfu
2453,fellatio,"assumm, issummen"
2454,felllation,"assumm, issummen"
2455,fellow,"anggʷu, inggʷa"
2456,fellow contryman,"u dar-neɣ, ayt dar-neɣ"
2457,fellow friend,"amddakʷel, imddukal"
2458,feminism,tawutemant
2459,fennel,"wamsa, id wamsa"
2460,fenugreek,tifiḍaṣ
2461,ferment,"tamttent, timttan"
2462,ferret,"abṛṛan, ibṛṛanen"
2463,fertile,ismmɣayn
2464,fertilize,ḍkkeṛ
2465,fertilizer,"amazir, imaziren"
2466,festival,"almuggar, ilmuggaren"
2467,festival of the sacrifice,"tafaska, tifaskiwin"
2468,fetch,"1.If you fetch something, you go to where it is and bring it back. Awi-d"
2469,fetter,"askref, iskraf"
2470,fellow-wife,"takna, takniwin"
2471,felt,"lbda, id lbda"
2472,fever,tireɣi
2473,fickle,ittenfaln
2474,fiction,"tawwargit, tiwwargiwin"
2475,field,"1.An area of land where corpse are grown or animals are kept. Igr, igran֎֎ amttul, imttulen֎֎ asqqul, isqqulen֎֎ ahṛṛuḍ, ihṛṛuḍen֎֎ taɣultt, tiɣula֎֎ ill, alliwen֎֎ tasarut, tisura֎֎ tifneɣt, tifneɣin֎֎ 2.An area of land where sports are played. Abaraz, ibarazen"
2476,fiend,"amdun, imdunen"
2477,fierce,icqqan
2478,fidel,"u Ṛebbi, ayt Ṛebbi"
2479,fidgety,iskarn zund ẓɛḍuḍ
2480,fifteen,smmus-d-mraw
2481,fifteenth,wiss smmus-d-mraw
2482,fiftieth,wiss smmus-n-imrawen
2483,fifty,smmus-n-imrawen
2484,fig,"1.A soft pear-shaped fruit with sweet dark flesh and many small seeds, eaten fresh or dried. Aqqurri, iqqurran"
2485,fig tree,"tuẓut, tuẓutin"
2486,filing,"akttur, iktturen"
2487,fill,"1.If you fill something or if it fills up, it becomes full. Ktur (mad. iktar aɣʷrraf s waman!)֎֎ smed"
2488,fill in,smed
2489,filling,"aktur/akttur, ikturen/iktturen"
2490,filly,"tajdaɛt, tijdaɛin"
2491,filter,sti
2492,filth,irkan
2493,filthy,imsuktun
2494,fin,"tafrawt, tifrawin"
2495,finally,"1.If something finally happens, it happens after a long delay. Sul"
2496,financial,n iqqaṛiḍen/idrimen
2497,find out,ssen
2498,fineness,"tasddi, tisddiwin"
2499,finery,iqqcucen
2500,finger,"aḍad, iḍudan"
2501,fingernail,"isker, askaren"
2502,fingerprint,"anza, anziwen n uḍad/iḍudan"
2503,fingertip,"ixf, ixfawen n iḍuḍan"
2504,fire brigade,tagaluft n imssnesa/imssxsay n takat֎֎
2505,fire engine,"tamasayt, timasayin n imssnesa n takat֎֎"
2506,fire escape,"imi, imawwen n ujjnjem"
2507,fire truck,"tamasayt, timasayin n imssnesa n takat֎֎"
2508,firebrand,"asafu, isufa"
2509,fireman,"amssnes, imssnesa n takat֎֎ amssxsi, imssxsay n takat֎֎"
2510,fireplace,inkan
2511,firewood,ikccuḍen
2512,firework,takat n imussuten/tumeriwin
2513,first aid,tiwisi tamzwarut
2514,first-class,1.Something that is first-class is the highest quality. Bahra/ḥawla ifulkin/iẓiln/icwan/iḥlan/ihiyyan/issusan
2515,first floor,"izddar, id izddar"
2516,firstborn,"ixfddi, ixfddiyen"
2517,fish bone,"taẓẓit, tiẓẓa"
2518,fish hook,"tukkeḍt, tukkaḍ"
2519,fisherman,"bi-islman, id bi-islman"
2520,fishing,tagʷmert n islman
2521,fishing rod,"taɣanimt, tiɣanimin"
2522,fishmonger,"bi-islman, id bi-islman"
2523,fist,"tukkʷimt, tukkʷimin"
2524,fistful,"tukmict, tukmicin"
2525,five,"smmus, id smmus"
2526,fix,"1.If you fix something somewhere, you attach it there securely. Agʷel"
2527,fizzle,bbiqqi
2528,fizzle out,cgrmec
2529,flag,"acnyal, icnyalen"
2530,flake,"imikk, id imikk"
2531,flame,"tamẓla, timẓliwin֎֎ tafaddit, tifdaddiyin֎֎ tafedaddert, tifedadderin֎֎ aẓizen֎֎ ils, alsiwen n takat֎֎ tawẓlfa, tiwẓlfiwin֎֎ afdaddur, ifdadduren֎֎"
2532,flannel blanket,"tansrift, tinsrifin"
2533,flashlight,"inir, iniren n ufus֎֎ aynir, iyniren n ufus֎֎"
2534,flask,"tarrukt, tirrukin"
2535,flatten,sgadda
2536,flatter,ḥẓẓeṛ
2537,flatterer,"aḥẓẓaṛ, iḥẓẓaṛen"
2538,flattery,"taḥẓẓaṛt, tiḥẓẓaṛin"
2539,flavoured,immimn/iẓiḍn/iẓaḍn/yaḍfutn
2540,flaw,"tazgelt, tizgal֎֎ taxḍut, tixḍutin֎֎ tannezrit, tinnezritin֎֎ gar kra, id gar kra"
2541,flax-leaved daphne,"inif, inifen"
2542,flay,Azu
2543,flea,"aggʷrdi/aggʷrdu, iggʷrdan"
2544,flecked,ikkṛkeḍn
2545,fledgling,"afraray, ifrarayen"
2546,flee,rur
2547,fleet,"izreg, izregan"
2548,flesh,"tifyyi, tifyyiwin"
2549,fleshy,iḍnan
2550,flesh-eating,"amctta/amccun tefyyi/uksum, imcttaten/imccunen n tefyyi/uksum"
2551,flexible,1.Something that is flexible can bent easily without breaking. Ittelwiwiḍn
2552,flexibility,"taḍuεi, tiḍuεiwin"
2553,flight,1.A journey made aeroplane. Amuddu n taylalt/ignna
2554,fling,luḥ-nn
2555,flint,"timicca, timiccawin"
2556,flintstone,"timicca, timiccawin"
2557,flip-flops,"tisselt, tissal"
2558,flick,"tiɣeri, tiɣeriwin n wagar"
2559,flip,"tiɣeri, tiɣeriwin n wagar"
2560,float,"1.If something is floating in a liquid, it is lying just below the surface of the liquid. Usin/iwin waman"
2561,floor,"1.The part of a room that you walk on. Akal, ikaliwen"
2562,floor tile,"akʷfaf, ikʷfafen"
2563,floorcloth,"aýεuḍ, iýεaḍen֎֎ acwiḥ , icwiḥsen֎֎ acelliq, icelliqen֎֎ acṛwiḍ, icṛwiḍen֎֎ 94 ajɣaɣ, ijɣaɣen֎֎ adɣar, idɣaren֎֎ taxzuzt, tixzuzin֎֎ iktel, iktelan֎֎ acṛmiḍ, icṛmiḍen֎֎ abderdi/iberdi, iberdan֎֎ aberduz, iberdaz֎֎ ahṛṛuḍ, ihṛṛuḍen֎֎ aceddad, iceddaden֎֎ adɣaz, idɣazen֎֎ ajway, ijwayen֎֎ taɣzuzt֎֎ tadɣart, tidɣarin֎֎ tiberdit, tiberdatin֎֎ asammes, isumas֎֎ aḥzuz, iḥzuzen֎֎"
2564,floppy disk,"titwilt, titwilin"
2565,florist,"bu-ijjigen/ijddigen, id bu- jjigen/ijddigen"
2566,flourish,buølu
2567,flourishin,ibuølan/izwajjgn/ifsan
2568,flu,aṣmmiḍ
2569,fluent,issiff
2570,fluff up,skkuceḍ/sgguceḍ
2571,flute,"taɣanimt, tiɣanimin"
2572,flutiste,"bu-teɣanimt/usdasi, id bu- teɣanimt/usdasi"
2573,fly swatter,"tanccact, tinccacin"
2574,foal,"ajdaɛ, ijdaɛen"
2575,fodder,tuga
2576,foe,"aɣni, iɣnan"
2577,fog,tagut
2578,foil,sbidd
2579,fold up,snuḍu
2580,foliage,"afraw, ifrawen"
2581,follow,"1.If you follow someone, you move along behind them. Ḍfer"
2582,follow up,ḍfeṛ
2583,follower,"anḍfuṛ, inḍfaṛ"
2584,following day,nḍiḍḍ n uzkka
2585,fond,iri
2586,food,"tiremt, tiram֎֎ utcu, utcan֎֎ tamccut, timccutin֎֎ amkci, imkciyen֎֎ matca, id matca֎֎ imtci, imtciyen֎֎ amccu, imccuten֎֎ amttcu, imttcuten֎֎ macca, id macca֎֎ tamacca, timacciwin֎֎ tifredi, tifrediwin֎֎ cicci/mimmi/ɛamɛam (chld. lge)֎֎ fool:  (n.) 1.A fool is someone who shows poor judgement and is not sensible. Anafal, inafalen֎֎ amṣud, imṣad֎֎ amxlaw, imxlawen֎֎ Anafal, inafalen,֎֎ amxlaw, imxlawen֎֎ amṣuḍ, 50 imṣaḍ֎֎ amɛḍuṛ, imɛḍaṛ֎֎ amkuf, imkufen֎֎ baygli, id baygli֎֎ cikrir, id cikrir֎֎ amtellc, imtellcen֎֎ abuhal, ibuhalen֎֎ abuhali, ibuhaliyen֎֎ abahlal, ibahlalen֎֎ baqqʷffa, id baqqʷffa֎֎ ẓẓmeṛ, id ẓẓmeṛ֎֎ aɣʷyul, iɣʷyal֎֎ amguf, imgufen֎֎ anguf, ingufen֎֎ antluf, intlufen֎֎ amtluf, imtlufen֎֎ mixxi, id mixxi֎֎ baḥffu, id baḥffu֎֎ baqqʷffa, id baqqʷffa...֎֎  (v.) 2.If you fool someone, you deceive or trick them. Ḥcu"
2587,foolish,n uxʷlu/unufel/iṣiḍ
2588,foot,"00 1.The part of you body at the end of you leg. Abacil, ibacilen"
2589,foot soldier,"atrras, itrrasen"
2590,football,tawýýa n uḍaṛ
2591,footpath,"taɣarast, tiɣarasin"
2592,footprint,"adriz, idrizen"
2593,footstep,"adida, ididaten n tewada"
2594,forage,tuga
2595,forbid,kkes
2596,forbidden,igʷdeln
2597,forearm,"iɣil, iɣallen n ufus"
2598,forebear,"amzwaru, imzwura"
2599,forefather,"amzwaru, imzwura"
2600,forefinger,"mlleɣ, id mlleɣ"
2601,foreground,"amzizal, imzizalen n tewlaft֎֎ amnid, imniden n tewlaft֎֎ mnid, id mnid n tewlaft֎֎ amddur, imdduren n tewlaft֎֎"
2602,forehead,"ignzi, ignziyen"
2603,foreign,1.Belonging to or involving a country that is not you own. N beṛṛa
2604,foreigner,"u beṛṛa, ayt beṛṛa"
2605,foreman,"kabṛan, id kabṛan"
2606,foresee,qqafa
2607,forest,"tagant, taganin"
2608,foretell,qqafa
2609,forever,bedda
2610,forgery,"asignit, asigniten"
2611,torgetful,ittetawn
2612,forgive,zzri
2613,formal,"1.Formal speech or behavior is correct and serious, rather than relaxed and friendly. Itteqqiln"
2614,format,"askkir, iskkiren֎֎ aṭṭay, aṭṭayen֎֎ tiḍit, tiḍitin֎֎ asffeɣ, isffeɣen֎֎ ufuɣ, ufuɣen֎֎ asmili, ismiliyen֎֎ asnmala, isnmalaten֎֎ anmala, inmalaten֎֎ tubedda, tubeddiwin֎֎ former: 06  (adj.) 1.You use ‘former’ to indicate what someone or something used to be, but no longer is. Izwarn"
2615,formerly,zikk
2616,formula,"1.A group of letters, numbers, or symbols which stand for a mathematical or scientific rule. Taberknna, tiberknniwin"
2617,fornicate,mmṛeḍ
2618,fornication,"akur, akuren"
2619,forth,"1.If you go forth form a place, you leave it. Ddu"
2620,forthcoming,lli d-yuckan
2621,forthieth,wiss sin ignaren
2622,forthnight,sin imalassen
2623,fortress,"agadir, igudar/igadiren"
2624,fortunate,ikka Ṛebbi tama
2625,fortunately,yiwi-d Ṛebbi
2626,fortune-teller,"aqqddac, iqqddacen"
2627,forty,sin ignaren
2628,found,sker
2629,fountain,"aɣbalu, iɣbula"
2630,fourteen,kkuẓ-d-mraw
2631,fourteenth,wiss kkuẓ-d-mraw
2632,fox,"abaɣuɣ, ibuɣaɣ֎֎ abayrru, ibayrruten֎֎ abayṛṛu, ibayṛṛuten֎֎ bakken, id bakken֎֎ ṭṭalb ɛli, id ṭṭalb ɛli֎֎ abaɛkka, ibaɛkkaten֎֎ abarɣn, ibarɣnen֎֎ abareɣ, ibarɣen֎֎ abarray, ibarrayen֎֎ arakuk, irakuken֎֎ arakka, irakkaten֎֎"
2633,fraction,"1.In mathematics, a fraction is a part of a whole number. Ubbic, ubbicen֎֎ agzzum, igʷzman֎֎ ammu, immuten֎֎ amu, imuten֎֎ ili, ilan֎֎ amur, imuren֎֎ taɣamt, 10 taɣamin֎֎ imikk, id imikk֎֎ akṭṭum, ikṭṭman֎֎ 2.A tiny proportion or amount of something. Imiskukk"
2634,fragile,ikukḍn
2635,fragility,"akukḍ, ikukḍen"
2636,fragrance,"aḍu, iḍaggʷen"
2637,fragrant,ijjan
2638,frail-looking,iqquccan
2639,framework,"1.A structure that forms a support of frame for something. Taɣessa, tiɣessiwin"
2640,frank,ifawn
2641,frankly,nnican
2642,fraud,"1.Fraud is the crime of getting money by deceiving someone. Takndawt, tiknnad"
2643,freckle,"takukkert, tikukkar n tezuɣi"
2644,freedom,"1.If you have the freedom to do something, you are allowed to do it. Tadrefit/tilelli"
2645,freeway,"aɣaras yattuyn֎֎ aɣaras amattay֎֎ aɣaras ifssusn, izrebn֎֎ aɣaras n tefssi/zzreb/tewada֎֎ aɣaras amazzal֎֎ abrøaras, ibrøarasen֎֎ abrbrid, ibrbriden֎֎"
2646,freez,"1.When a liquid freezes, or when something freezes it, it becomes solid because it is very cold. Qqar"
2647,freezer,"tamssiɣert, timssiɣar֎֎ tin usɣer, id tin usɣer֎֎"
2648,freezing,izzlufn
2649,French spinach,armas
2650,frequence,"1.The frequency of an event is how often it happens. Taýṛut/tamýṛut, tiýiṛutin/timýṛutin"
2651,frequent,bedda ittilin/itteýṛun/izrayn
2652,fresh,1.A fresh thing replaces a previous one or is added to it. Amaynu
2653,fresh water,aman mmimnin
2654,frenshness,azuzwu
2655,friction,"ammas, ammasen"
2656,Friday,"sam, id sam"
2657,fridge,"tamṣmmiḍt, timṣmmiḍin"
2658,friend,"֎֎ amddakʷel, imddukal"
2659,friendly,ifulkin
2660,friendship,tiddukʷela
2661,fright,"tawda, tawdiwin"
2662,frighten,ssiwed
2663,frightened,ikṣuḍn
2664,fritter,"taccfnejt/tassfnejt, ticcfnejin/tissfnejin"
2665,frivolity,"tifssi, tifssiwin"
2666,frivolous,ifssusn/ibssusn
2667,frizzy,ikkernunsn
2668,frog,"agʷru, igʷra"
2669,from,"1.You use ‘from’ to say what the source, origin, or starting point of something is. Zzeɣ"
2670,from now on,zzeɣ ɣil-ad
2671,frontier,"awwuttu, iwwutta"
2672,frost,waɣʷris
2673,froth,"aluffi, iluffiyen"
2674,fruit,"tagemmut, tigʷmma"
2675,frustration,"anuger, inugeren"
2676,frustrate,"1.If something frustrates you, it causes you problems and makes you upset. Ssɣli idammen"
2677,fry,ssnu ɣ uẓatim
2678,frying pan,"tasslit, tisslitin"
2679,fuck,qqu
2680,fugitive,"amrur, imruren"
2681,fulfill,"1.If you fulfill a promise, hope, or duty, you carry it out or achieve it. Lkem"
2682,full stop,"tadbgit, tidbgitin֎֎ tabkkit, tibkkitin֎֎ tabqqit, tibqqitin֎֎ tabuḍt, tibuḍin֎֎ tabuḍi, tibuḍiyin֎֎ takukkert, tikukkar֎֎ tabbuɣt, tibbuɣin֎֎ taqqayt, taqqayin֎֎ full-time (adv. & adj.): imalass"
2683,fullness,"ajiwen, ijiwinen"
2684,fumewort,"bliɣed, id bliɣed"
2685,fumigate,sguggu
2686,fun,"1.Fun is pleasant, enjoyable and amusing activity. Arcuqq, ircuqqen"
2687,functionary,"amazzal, imazzalen"
2688,fundamental,anbdad
2689,funeral,"amḍel/amḍal, imḍelen/imḍalen"
2690,fungus,"agursel֎֎ aresl, irislen֎֎ akucci n wakal/Waɛṛab (pej.)֎֎ tirfas n iḍan(pej.)֎֎ akucci n teɣʷẓentt(pej.)֎֎"
2691,funnel,"1.A metal chimney on a ship or steam engine. Tanzlla, tanzllatin n tinawt"
2692,funny,1.Funny things ar amusing and make you smile or laugh. Isaḍṣan
2693,fur,"ilis, ilisen"
2694,furious,1.Extremely angry. Izɛfn
2695,furnish,eg ifckan/iftran/irukuten
2696,furniture,"afcku, ifckan"
2697,further,2.A comparative form of far. Yaggugn f
2698,furthest,akkʷ yaggugn
2699,furious,izɛfn
2700,furuncle,"tabukkert, tibukkar"
2701,fury,"asfurreg, isfurrugen/isfurrugen"
2702,fuse,"tiftilt, tiftilin"
2703,fuss,taqqurt
2704,fuzzy,ikkernunsn
2705,gadget,"taɣawsa, tiɣawsiwin"
2706,gadfly,"tadast, tadasin"
2707,gag,"takʷmamt, tikʷmamim"
2708,gaggle,"adfrir, idfriren"
2709,gaiter,"aýugýuḍ, iýugýaḍ"
2710,gale,"ijiwwi, ijawwan"
2711,gall,aman n iẓi
2712,gall-bladder,iẓi
2713,gallery,"aɣʷgemmi, iɣʷgemmiyen"
2714,gallon,"agalun, igalunen"
2715,gallop,ṛbeɛ
2716,gambol,ṛbeɛ
2717,game,"urar, uraren"
2718,gang,"akabaṛ, ikabaṛen"
2719,gang up,mṛṛec
2720,ganglion,"awlal, iwlalen"
2721,gap,"1.A space between two things or a hole in something solid. Afḍuḍu, ifḍuḍuten"
2722,garage,"1.A building in which you can keep your car. Asbiddad, isbiddaden n ṭṭamubil֎֎ 2.A place wehere cars are repaired or where petrol is sold. taḥanut, tiḥuna n umubil"
2723,garance,"tarubi, tirubiyin"
2724,garbage,"arras, arrasen֎֎ amaras, imarasen֎֎ asmmam, ismmamen֎֎ tisfeḍit, tisfeḍiwin֎֎ amazir, imaziren֎֎ amdduz, imdduzen֎֎ axʷsis, ixʷsisen֎֎ tajlxit, tijlxiyin֎֎ irkan֎֎"
2725,garbage dump,"tagudit, tigudiwin"
2726,garden,"urti, urtan"
2727,garden orache,armas
2728,garden pea,tinaffin֎֎ tinifin֎֎ tiniwca֎֎ tiyacfin֎֎ ibelɣac֎֎ tinawcin֎֎ 26
2729,garden wall,"aḍṛṛaṣ, iḍṛṛaṣen"
2730,gardener,"abḥḥar, ibḥḥaren"
2731,garlic,"tiskert, tiskerin"
2732,garment,"timlesit, timlesa֎֎ ibrdi, ibrdan֎֎ ahdum, ihdumen֎֎ ansrif, insraf֎֎ aktel, iketlan֎֎ aḥruy, iḥruyen֎֎ aslesu, islesa֎֎ aqqccab, iqqccaben֎֎"
2733,garter snake,"amzawwu, imzuwwan"
2734,gasket,"asmsel, ismselen"
2735,gasoline,"aẓatim֎֎ gasp:  (v.) 1.If you gasp, you take a short, quick breath through your mouth, for example because you are surprised or in pain. Ibbi unfus"
2736,gate,"imi, imawwen"
2737,gatekeeper,"atwwab, itwwaben"
2738,gather,"1.When people gather, they come together in a group. Mun"
